from,to
access,ACCESS_EVEN
access,ACCESS_ODD
access,ACCESS_POS_0_OUT_5_FILE
access,ACCESS_POS_1_OUT_5_FILE
access,ACCESS_POS_2_OUT_5_FILE
access,ACCESS_POS_3_OUT_5_FILE
access,ACCESS_POS_4_OUT_5_FILE
array,ARRAY_COMPUTATION
condition,COND_CUMULATIVELY_ADD
condition,COND_CUMULATIVELY_MULT
condition,CONDITIONAL_PRINT_CONSTANT
cumulative,CUMULATIVELY_ADD
cumulative,CUMULATIVELY_MULT
root,array
root,access
root,condition
root,cumulative
root,FIND_NUMBER_POSITIVE_DYNAMIC_INTERVAL
root,FIND_NUMBER_POSITIVE_STATIC_INTERVAL
root,NO_TWO_ASSIGNED_VARIABLES_LOOP
root,NUMBER_OF_DECIMAL_DIGITS
root,ONE_LIMIT_INCLUSIVE_LOOP
root,PRINT_CONSOLE
root,REPEATEDLY_SUBSTRACT_FROM_VARIABLE
root,TWO_ASSIGNMENTS_LOOP_INDEX
root,RETURN
