node,type
access,term
ACCESS_EVEN,pattern
ACCESS_ODD,pattern
ACCESS_POS_0_OUT_5_FILE,pattern
ACCESS_POS_1_OUT_5_FILE,pattern
ACCESS_POS_2_OUT_5_FILE,pattern
ACCESS_POS_3_OUT_5_FILE,pattern
ACCESS_POS_4_OUT_5_FILE,pattern
array,term
ARRAY_COMPUTATION,pattern
COND_CUMULATIVELY_ADD,pattern
COND_CUMULATIVELY_MULT,pattern
condition,term
CONDITIONAL_PRINT_CONSTANT,pattern
COPY_VAR,pattern
cumulative,term
CUMULATIVELY_ADD,pattern
CUMULATIVELY_MULT,pattern
DECIMAL_DIGIT_EXTRACT,pattern
FIND_NUMBER_POSITIVE_DYNAMIC_INTERVAL,pattern
FIND_NUMBER_POSITIVE_STATIC_INTERVAL,pattern
NO_TWO_ASSIGNED_VARIABLES_LOOP,pattern
NUMBER_OF_DECIMAL_DIGITS,pattern
ONE_LIMIT_INCLUSIVE_LOOP,pattern
PRINT_CONSOLE,pattern
REPEATEDLY_SUBSTRACT_FROM_VARIABLE,pattern
RETURN,pattern
root,term
TWO_ASSIGNMENTS_LOOP_INDEX,pattern
